pattern_id,pattern,total_profit,num_trades,win_rate,avg_profit_per_trade,max_drawdown
756,(volume_multiply_upper_wick)_threshold_1.0_5candles,4351.557313159259,17675,0.5060820367751061,0.24619843355922258,0.08563011985771711
780,(body_divide_wick_ratio)_threshold_1.0_5candles,3344.9383215837097,14092,0.5011353959693443,0.23736434300196635,0.11227156267211576
819,(wick_ratio_divide_upper_wick)_threshold_3.0_5candles,3035.282225284831,2343,0.5275288092189501,1.2954682993106406,0.16039352503573878
729,(volume_divide_body)_threshold_3.0_5candles,2901.889852146651,3215,0.501710730948678,0.9026095963131107,0.14019846103958405
888,(body_divide_wick_ratio)_threshold_1.0_7candles,2656.551246402634,11973,0.5075586736824522,0.22187849715214517,0.15480907898156676
1067,wick_ratio_time_decay_0.5_15candles,2616.9240626067585,7440,0.5041666666666667,0.35173710518908047,0.13299171695608503
993,(body_multiply_wick_ratio)_threshold_3.0_10candles,2343.6824019032647,748,0.5267379679144385,3.133265243186183,0.11884403848961746
910,(body_divide_upper_wick)_threshold_5.0_7candles,2009.241079920832,572,0.527972027972028,3.512659230630825,0.166881868784958
12,volume_increasing_5candles,1959.5214577441038,586,0.5255972696245734,3.3438932726008597,0.11526004439811459
1116,curr_body_div_max_body_3.0_10window,1930.909758294274,25747,0.5048355148172603,0.07499552407248511,0.14816859216752812
936,(volume_multiply_body)_threshold_1.0_10candles,1928.6293103443095,15675,0.49881977671451355,0.12303855249405483,0.12119722343094025
21,lower_wick_increasing_5candles,1891.1143862607532,330,0.5060606060606061,5.730649655335616,0.14515751047693567
984,(volume_ratio_change_upper_wick)_threshold_1.0_10candles,1855.6219225733857,23764,0.5021461033496044,0.07808542007125845,0.10363960499273552
876,(volume_ratio_change_upper_wick)_threshold_1.0_7candles,1855.486962803814,23765,0.5021249737008205,0.07807645540937573,0.10363960499273847
15,body_increasing_5candles,1846.297970048965,428,0.5046728971962616,4.313780303852722,0.12592719216364318
737,(volume_multiply_wick_ratio)_threshold_0.5_5candles,1837.2207352147598,23457,0.5027497122394168,0.07832292003302893,0.12697408733759408
781,(body_divide_wick_ratio)_threshold_1.5_5candles,1760.1667622560417,10970,0.5062898814949863,0.16045275863774308,0.14721200064776058
291,IF_volume_increasing_5_THEN_lower_wick_increasing,1706.0942435881516,9,0.6666666666666666,189.56602706535017,0.08929653807735022
736,(volume_ratio_change_body)_threshold_5.0_5candles,1642.4247741800755,7436,0.5036309844002151,0.2208747679101769,0.24222185406780772
844,(volume_ratio_change_body)_threshold_5.0_7candles,1642.4247741800755,7436,0.5036309844002151,0.2208747679101769,0.24222185406780772
135,high_increasing_15candles,1506.860357406873,6,0.6666666666666666,251.1433929011455,0.04104127708822398
70,high_decreasing_10candles,1503.450458582227,239,0.5062761506276151,6.290587692812665,0.1311865705593676
137,high_stable_15candles,1497.4160988665917,49418,0.49959528916589097,0.030301025919029334,0.156727725293231
38,high_stable_7candles,1333.6403322014012,49450,0.49953488372093025,0.026969470823081924,0.1776715672567201
1027,(wick_ratio_multiply_upper_wick)_threshold_1.5_10candles,1315.7299870017232,9441,0.5001588814744201,0.13936341351569995,0.1428759737223446
2,close_stable_5candles,1304.370409406849,49454,0.5018603146358231,0.026375427860372242,0.14936856440459156
965,(volume_ratio_change_wick_ratio)_threshold_0.5_10candles,1159.8720261049166,29849,0.5009883078160072,0.03885798606669961,0.17093972061776125
749,(volume_ratio_change_wick_ratio)_threshold_0.5_5candles,1159.744986480564,29850,0.5009715242881072,0.03885242835780784,0.1709397206177606
857,(volume_ratio_change_wick_ratio)_threshold_0.5_7candles,1159.744986480564,29850,0.5009715242881072,0.03885242835780784,0.1709397206177606
33,close_increasing_7candles,1136.1916944702298,691,0.5296671490593343,1.6442716273085813,0.19604016336252145
726,(volume_divide_body)_threshold_1.0_5candles,1110.9352017862839,16783,0.5036048382291605,0.06619407744659976,0.1912351050966617
213,close_decelerating_7candles,1078.269490639057,69,0.5362318840579711,15.627094067232711,0.12050221585198091
8,low_stable_5candles,1061.9263030579896,49452,0.5008088651621775,0.021473879783587915,0.14373925770391202
134,close_stable_15candles,1045.9163000611024,49408,0.49923089378238344,0.021168966565355864,0.15968858943654546
278,range_reversal_after_10candles,1016.4928927550336,25396,0.49751929437706727,0.0400257084877553,0.15439177256428416
16,body_decreasing_5candles,982.4194071697075,464,0.47844827586206895,2.117283205107128,0.1529746107408849
43,open_decreasing_7candles,981.6223287309203,654,0.4969418960244648,1.5009515729830587,0.1556317261004335
1044,volume_time_decay_0.7_7candles,973.1687577645916,6486,0.4992291088498304,0.1500414365964526,0.19163188391075153
1016,(body_divide_upper_wick)_threshold_2.0_10candles,965.6951724637511,1392,0.5035919540229885,0.6937465319423499,0.15309862538290103
960,(volume_divide_wick_ratio)_threshold_1.0_10candles,945.0014440887662,10771,0.5026459938724352,0.08773572036846776,0.20227613090569047
1107,curr_body_div_max_body_4.0_7window,928.6441142700078,25867,0.500637878377856,0.03590072734642625,0.12479293888764585
903,(body_multiply_upper_wick)_threshold_3.0_7candles,921.5421235545236,4283,0.5033854774690637,0.21516276524737885,0.1771656743756052
24,wick_ratio_increasing_5candles,844.3012468965117,382,0.4607329842931937,2.2102126882107633,0.1544360872224991
205,close_decelerating_5candles,813.3671631841826,2106,0.5004748338081672,0.38621422753285023,0.21727145808180043
1000,(body_divide_wick_ratio)_threshold_5.0_10candles,783.5392071258266,2117,0.5196032120925839,0.37011771711186897,0.1829335332571964
1101,curr_body_div_max_body_2.0_7window,770.0387151871364,25371,0.5056166489298806,0.03035113772366625,0.16887471966863046
841,(volume_ratio_change_body)_threshold_1.5_7candles,739.676487889752,19381,0.4996130230638254,0.038165032139195705,0.16534981871280588
949,(volume_ratio_change_body)_threshold_1.5_10candles,739.6275850426173,19380,0.4995872033023736,0.038164478072374476,0.16534981871280274
28,body_pct_decreasing_5candles,731.4600832695196,385,0.44415584415584414,1.8998963201805703,0.15036553151916865
836,(volume_divide_body)_threshold_2.0_7candles,728.3371126943766,6787,0.49889494622071606,0.10731355719675506,0.15309178150610303
733,(volume_ratio_change_body)_threshold_1.5_5candles,720.7980547902298,19382,0.4995872458982561,0.03718904420546021,0.16534981871280444
25,wick_ratio_decreasing_5candles,708.4752843451079,396,0.5,1.7890790008714845,0.14768646934831348
1024,(body_ratio_change_upper_wick)_threshold_5.0_10candles,691.4395109765246,15381,0.49951238541057147,0.04495413243459623,0.14690050152015782
305,IF_body_decreasing_5_THEN_lower_wick_increasing,665.5890831370216,4,0.75,166.3972707842554,0.11159351789331536
1056,body_time_decay_0.7_10candles,632.5546325932282,8428,0.5003559563360228,0.07505394311737403,0.19905105480736032
1030,(wick_ratio_multiply_upper_wick)_threshold_5.0_10candles,602.4587577773236,3035,0.500494233937397,0.19850370931707534,0.2015812981954891
830,(volume_multiply_body)_threshold_2.0_7candles,561.3262794835337,7620,0.49855643044619424,0.07366486607395455,0.16659884091053667
73,low_decreasing_10candles,535.12445793199,74,0.527027027027027,7.231411593675541,0.10439467026298246
812,(wick_ratio_multiply_upper_wick)_threshold_2.0_5candles,487.61094190804397,10023,0.501047590541754,0.04864920102843899,0.2311555743286418
974,(volume_multiply_upper_wick)_threshold_2.0_10candles,470.01278897791417,8028,0.5001245640259093,0.058546685223955425,0.20121547958175304
140,low_stable_15candles,457.359585940756,49398,0.5015587675614397,0.009258666058155311,0.2146937746196588
1112,curr_wick_ratio_div_max_wick_ratio_2.0_10window,431.99771527677876,9035,0.4996126175982291,0.04781380357241602,0.21248595888057262
773,(body_multiply_wick_ratio)_threshold_0.5_5candles,419.81086337350644,38070,0.5007354872603099,0.011027340776819187,0.15434920377425615
1060,wick_ratio_time_decay_0.9_10candles,417.92926840236214,9211,0.49625447834111386,0.045372844251694945,0.15092145987040606
1093,curr_volume_div_max_volume_3.0_5window,413.51476544090656,27648,0.5021701388888888,0.014956407893551307,0.132441729708088
740,(volume_multiply_wick_ratio)_threshold_2.0_5candles,400.8533954010254,9002,0.5009997778271496,0.0445293707399495,0.24941773138790224
1001,(body_ratio_change_wick_ratio)_threshold_0.5_10candles,392.4939618990393,28186,0.5012772298304122,0.013925138788726293,0.16751667964101272
785,(body_ratio_change_wick_ratio)_threshold_0.5_5candles,392.375657806886,28187,0.5012594458438288,0.013920447646322276,0.16751667964101954
893,(body_ratio_change_wick_ratio)_threshold_0.5_7candles,392.375657806886,28187,0.5012594458438288,0.013920447646322276,0.16751667964101954
280,IF_volume_increasing_5_THEN_body_decreasing,373.05908121352513,2,0.5,186.52954060676257,4.0075520091340876e-05
19,upper_wick_decreasing_5candles,364.4784897426234,355,0.5014084507042254,1.0266999711059814,0.14746685804349077
801,(body_divide_upper_wick)_threshold_3.0_5candles,361.27641750946896,1975,0.49873417721518987,0.18292476835922478,0.11834672218628317
866,(volume_multiply_upper_wick)_threshold_2.0_7candles,360.0371188428853,8438,0.5092438966579759,0.04266853743101272,0.14948458433266076
871,(volume_divide_upper_wick)_threshold_1.5_7candles,336.03725443951043,3018,0.5096090125911199,0.1113443520342977,0.19568864509230585
102,high_increasing_12candles,309.9779869301947,25,0.56,12.399119477207787,0.12898799545206638
779,(body_divide_wick_ratio)_threshold_0.5_5candles,272.9001501182065,19228,0.5022883295194508,0.014192851576773795,0.17654389222037084
924,(wick_ratio_divide_upper_wick)_threshold_1.0_7candles,270.6090806922675,5025,0.5044776119402985,0.05385255337159553,0.1890121481323909
1069,wick_ratio_time_decay_0.9_15candles,258.944457407355,8176,0.5012230919765166,0.03167128882183892,0.14751539547691905
975,(volume_multiply_upper_wick)_threshold_3.0_10candles,256.6315845871395,4615,0.5150595882990249,0.05560814400588072,0.14849973843289876
76,open_decreasing_10candles,248.1826656774574,70,0.4714285714285714,3.5454666525351057,0.11746565664385332
835,(volume_divide_body)_threshold_1.5_7candles,245.49215993396683,9673,0.49643337123953274,0.02537911298810781,0.20741999475667183
27,body_pct_increasing_5candles,230.25840290798624,397,0.5214105793450882,0.5799959770982022,0.14618269343828338
904,(body_multiply_upper_wick)_threshold_5.0_7candles,229.08614462052356,832,0.5216346153846154,0.27534392382274464,0.18232063090255038
271,open_reversal_after_10candles,212.24607956530417,25062,0.49708722368526054,0.008468840458275643,0.21179386937671216
109,open_decreasing_12candles,207.71294534129265,18,0.6666666666666666,11.53960807451626,0.0716609368389828
848,(volume_multiply_wick_ratio)_threshold_2.0_7candles,187.05896224236858,8213,0.4977474735175941,0.022775960336340995,0.18283503809923915
816,(wick_ratio_divide_upper_wick)_threshold_1.0_5candles,184.3194303979417,7481,0.503943323085149,0.024638341184058506,0.18175547613598927
1025,(wick_ratio_multiply_upper_wick)_threshold_0.5_10candles,171.7650822829255,16512,0.5000605620155039,0.010402439576243067,0.14468544575137143
1051,wick_ratio_time_decay_0.9_7candles,165.19533731701267,10234,0.49648231385577485,0.016141815254740344,0.17138129144836436
